numren,sexo,edad,folio,tam_loc,est_dis,upm,factor,ur_rur_2500,municipio,entidad,ccevj,CBDj,CSj,CTELJ,CENJ,rei,ett,CASi,CASSi,cyt,nbi,mmip,E_ccevj,E_CBDj,E_CSj,E_CTELJ,E_CENJ,E_rei,E_CASSi,E_CASi,E_nbi,E_cict,E_ett,E_cyt,E_mmip,año,anio,is_cdmx,municipio_num,alcaldia_norm
2,2,57,9002375021,1,134,24170,1671,1,2,9,0.375,0.066851497,0.375,-0.5,0.0,1.0,1.036458373,0.0,0.0,-0.099600911,0.361752391,0.072945222,2,3,2,6,4,1,4,4,2,5,3,4,3,2016,2016,True,2,AZCAPOTZALCO
3,2,36,9002375021,1,134,24170,1671,1,2,9,0.375,0.066851497,0.375,-0.5,0.0,0.066666663,1.036458373,-0.101511717,1.0,-0.099600911,0.268621802,0.038114384,2,3,2,6,4,3,1,5,3,5,3,4,3,2016,2016,True,2,AZCAPOTZALCO
4,2,30,9002375021,1,134,24170,1671,1,2,9,0.375,0.066851497,0.375,-0.5,0.0,0.199999988,1.036458373,-0.101511717,1.0,-0.099600911,0.300088465,0.049882915,2,3,2,6,4,3,1,5,3,5,3,4,3,2016,2016,True,2,AZCAPOTZALCO
1,2,59,9002375031,1,134,24170,1671,1,2,9,-0.820754647,-0.964936256,0.0,-0.5,0.0,-0.4375,0.982291698,0.0,0.0,-0.209926367,-0.443423837,-0.297254413,6,6,4,6,4,5,4,4,5,5,4,5,5,2016,2016,True,2,AZCAPOTZALCO
2,2,48,9002375031,1,134,24170,1671,1,2,9,-0.820754647,-0.964936256,0.0,-0.5,0.0,-0.4375,0.982291698,0.0,0.0,-0.209926367,-0.443423837,-0.297254413,6,6,4,6,4,5,4,4,5,5,4,5,5,2016,2016,True,2,AZCAPOTZALCO
3,1,48,9002375031,1,134,24170,1671,1,2,9,-0.820754647,-0.964936256,0.0,-0.5,0.0,-0.4375,0.982291698,-1.0,1.0,-0.209926367,-0.443423837,-0.297254413,6,6,4,6,4,5,1,6,5,5,4,5,5,2016,2016,True,2,AZCAPOTZALCO
4,1,57,9002375031,1,134,24170,1671,1,2,9,-0.820754647,-0.964936256,0.0,-0.5,0.0,-0.4375,0.982291698,-1.0,1.0,-0.209926367,-0.443423837,-0.297254413,6,6,4,6,4,5,1,6,5,5,4,5,5,2016,2016,True,2,AZCAPOTZALCO
5,1,8,9002375031,1,134,24170,1671,1,2,9,-0.820754647,-0.964936256,0.0,-0.5,0.0,-0.200000048,0.982291698,0.0,0.0,-0.209926367,-0.387373835,-0.276291728,6,6,4,6,4,5,4,4,5,5,4,5,5,2016,2016,True,2,AZCAPOTZALCO
6,2,6,9002375031,1,134,24170,1671,1,2,9,-0.820754647,-0.964936256,0.0,-0.5,0.0,-0.666666627,0.982291698,0.0,0.0,-0.209926367,-0.497507155,-0.317481577,6,6,4,6,4,6,4,4,5,5,4,5,5,2016,2016,True,2,AZCAPOTZALCO
1,2,80,9002375041,1,134,24170,1671,1,2,9,-0.620689631,-0.780776978,0.0,-0.5,0.0,1.0,0.822916687,0.0,0.0,-0.017352462,-0.027871264,-0.021286493,6,6,4,6,4,1,4,4,4,4,5,4,4,2016,2016,True,2,AZCAPOTZALCO
2,1,38,9002375041,1,134,24170,1671,1,2,9,-0.620689631,-0.780776978,0.0,-0.5,0.0,0.199999988,0.822916687,-0.003127217,1.0,-0.017352462,-0.075613767,-0.039142191,6,6,4,6,4,3,1,4,4,4,5,4,4,2016,2016,True,2,AZCAPOTZALCO
3,1,50,9002375041,1,134,24170,1671,1,2,9,-0.620689631,-0.780776978,0.0,-0.5,0.0,-0.125,0.822916687,-0.003127217,1.0,-0.017352462,-0.152313769,-0.067827992,6,6,4,6,4,5,1,4,5,4,5,4,4,2016,2016,True,2,AZCAPOTZALCO
1,1,51,9002375051,1,134,24170,1671,1,2,9,0.735714257,-0.01952064,1.0,0.0,0.0,-0.25,1.03125,0.0,0.0,0.242949069,0.218182072,0.233686209,1,4,1,4,4,5,4,4,3,3,3,3,3,2016,2016,True,2,AZCAPOTZALCO
2,1,24,9002375051,1,134,24170,1671,1,2,9,0.735714257,-0.01952064,1.0,0.0,0.0,0.199999988,1.03125,1.0,1.0,0.242949069,0.607382059,0.37924701,1,4,1,4,4,3,1,1,1,3,3,3,2,2016,2016,True,2,AZCAPOTZALCO
