alcaldia_id,tiempo_id,delito_subtipo_id,fuente_datos_id,total_delitos,registros_con_coordenadas,latitud_promedio,longitud_promedio
8,202403,2,3,15,15,19.398038291769005,-99.09129808007918
8,202403,1,3,44,44,19.39920594773727,-99.09752466317394
8,202403,6,3,21,21,19.396532551352205,-99.09006032902488
8,202403,5,3,32,32,19.396369497404816,-99.10030310564916
8,202403,4,3,22,22,19.395926596484,-99.08816977590249
9,202403,7,3,2151,2101,19.350057704320115,-99.05838749345538
9,202403,3,3,42,42,19.34858073802339,-99.06492736931573
9,202403,2,3,91,91,19.36186042432336,-99.07606254593934
9,202403,1,3,215,213,19.353734168875736,-99.05578036947624
9,202403,6,3,49,49,19.35818503895844,-99.06213940552942
9,202403,5,3,36,36,19.35233317331461,-99.064351020556
9,202403,4,3,61,61,19.35361264718065,-99.06073634958308
10,202403,7,3,327,326,19.311301768067043,-99.24498724509232
10,202403,3,3,15,15,19.31191597450048,-99.24793378599988
10,202403,2,3,5,5,19.31491403958638,-99.23264356597257
10,202403,1,3,12,12,19.30805955233388,-99.24759935249988
10,202403,6,3,14,14,19.316908026304684,-99.2333682650022
10,202403,5,3,4,4,19.316217619834,-99.2441606024999
11,202403,7,3,800,798,19.43413046126423,-99.19319604149533
11,202403,3,3,17,17,19.42990712155828,-99.188687670589
11,202403,2,3,75,75,19.43896416790709,-99.19678147225578
11,202403,1,3,74,74,19.43066900666032,-99.19220103566644
11,202403,6,3,57,57,19.43448854247094,-99.1982283343716
11,202403,5,3,57,57,19.433000897154432,-99.19228335420884
11,202403,4,3,31,31,19.43810970051885,-99.19180027225616
12,202403,7,3,200,197,19.19813070176556,-99.0288304126786
12,202403,3,3,5,5,19.19012520256028,-99.03053949592214
12,202403,2,3,3,3,19.19612511907037,-99.03074805318728
12,202403,1,3,1,1,19.191985549834,-99.02195334
12,202403,5,3,2,2,19.19324881483415,-99.025388605
12,202403,4,3,3,3,19.20735213316753,-99.05573472333332
13,202403,7,3,580,572,19.28312071790399,-99.02446063533432
13,202403,3,3,9,9,19.270820596386766,-99.00970544329412
13,202403,2,3,10,10,19.27917227052551,-99.02512919899569
13,202403,1,3,17,16,19.28169010737933,-99.0280082612468
13,202403,6,3,8,8,19.279649847333783,-99.00616186125
13,202403,5,3,1,1,19.2867875998335,-99.04592324
13,202403,4,3,17,17,19.291123859245687,-99.02022383529412
14,202403,7,3,946,941,19.270689520309517,-99.17872206078536
14,202403,3,3,37,37,19.26750381220379,-99.17936905648716
14,202403,2,3,61,61,19.28703078128101,-99.17125152850674
14,202403,1,3,52,52,19.278349174365545,-99.16548957288911
14,202403,6,3,56,56,19.28461133034124,-99.1614132673255
14,202403,5,3,29,29,19.283557928208733,-99.16482840691042
14,202403,4,3,35,35,19.270318757608557,-99.18020714628886
15,202403,7,3,896,890,19.429811847370797,-99.10253193358426
15,202403,3,3,17,17,19.424842860117053,-99.10143007407008
15,202403,2,3,45,45,19.42479343393132,-99.10024776932973
15,202403,1,3,77,76,19.428752804005317,-99.10611479987404
15,202403,6,3,7,7,19.418751985093017,-99.10441331995158
15,202403,5,3,45,45,19.42659756155808,-99.1037907498024
15,202403,4,3,21,21,19.42827006607097,-99.09704739191449
16,202403,7,3,555,553,19.254515000969707,-99.09513486872852
16,202403,3,3,21,21,19.25452609078641,-99.09299951666662
16,202403,2,3,13,13,19.257392482910976,-99.09690657538452
16,202403,1,3,28,27,19.260008197186007,-99.09189989036436
16,202403,6,3,26,26,19.269602387941465,-99.10953171304844
16,202403,5,3,12,12,19.25550199533124,-99.0922705191236
16,202403,4,3,17,17,19.25483140277533,-99.09831269352937
2,202404,7,3,880,869,19.362278782716896,-99.22001644465816
2,202404,3,3,18,18,19.351305770042806,-99.23083515227944
2,202404,2,3,70,70,19.36390395926313,-99.21526109360768
2,202404,1,3,83,83,19.37035862916438,-99.219808514712
2,202404,6,3,41,41,19.359492528771614,-99.21376685294832
2,202404,5,3,27,27,19.363961404465304,-99.20074707621454
2,202404,4,3,7,7,19.36318308428393,-99.2234101670278
1,202404,7,3,629,628,19.48285188093446,-99.18443982903952
1,202404,3,3,15,15,19.483972895087167,-99.1904974627085
1,202404,2,3,75,75,19.482847483441528,-99.17531583292303
1,202404,1,3,44,44,19.481331700986047,-99.18438450906
1,202404,6,3,29,29,19.47895918151271,-99.1842409527853
1,202404,5,3,25,25,19.479847117826097,-99.1797557928134
1,202404,4,3,21,21,19.492999779223943,-99.1927469957009
3,202404,7,3,950,945,19.38284369060416,-99.16237582503167
3,202404,3,3,17,17,19.38014581162824,-99.16370931766882
3,202404,2,3,120,120,19.38037576319066,-99.16604430932504
3,202404,1,3,68,68,19.383907616622377,-99.15693212529251
3,202404,6,3,77,77,19.37714029546488,-99.16680388921364
3,202404,5,3,105,105,19.385052087917764,-99.15646432856326
3,202404,4,3,30,30,19.380162565151316,-99.16431844300392
4,202404,7,3,969,967,19.32700876418236,-99.1493870136702
4,202404,3,3,16,16,19.32619949771515,-99.14712606621354
4,202404,2,3,106,106,19.325636539324588,-99.15773868828852
4,202404,1,3,71,70,19.328596610901418,-99.15391737857846
4,202404,6,3,61,61,19.33277068804957,-99.15775104315736
4,202404,5,3,54,54,19.33752290301521,-99.15354057485789
4,202404,4,3,30,30,19.32613704055616,-99.14212242544232
5,202404,7,3,249,240,19.35247691765774,-99.2955243334438
5,202404,3,3,6,6,19.35111395503075,-99.30325739164344
5,202404,2,3,15,15,19.36301274151965,-99.2771676139776
5,202404,1,3,6,6,19.36310188863367,-99.28289928668534
5,202404,6,3,8,8,19.354523288125424,-99.29012155123267
5,202404,5,3,15,14,19.353332621054328,-99.29348254716366
5,202404,4,3,2,2,19.37547783981435,-99.2723949999178
6,202404,7,3,1965,1931,19.4311292159468,-99.14795591484577
6,202404,3,3,40,40,19.426465084827527,-99.15146608828444
6,202404,2,3,166,166,19.43097035500689,-99.1476968554552
6,202404,1,3,220,216,19.43300398502931,-99.14614658160828
6,202404,6,3,45,45,19.423996269153463,-99.15920756732272
6,202404,5,3,192,192,19.425588783532504,-99.15337222147453
6,202404,4,3,38,37,19.426528770910743,-99.1561500602723
7,202404,7,3,1571,1547,19.49632530074805,-99.11310520618744
7,202404,3,3,25,25,19.4832989303498,-99.1105587104386
7,202404,2,3,106,106,19.480823629349167,-99.11189831578814
7,202404,1,3,82,81,19.48501285925281,-99.1091517954526
7,202404,6,3,34,34,19.48114241377981,-99.11165709176544
7,202404,5,3,62,62,19.484050790559976,-99.11675533823626
7,202404,4,3,42,41,19.49213804206688,-99.11690006602616
8,202404,7,3,704,702,19.396252618480837,-99.0952170811292
8,202404,3,3,11,11,19.39594804520492,-99.1058490272544
8,202404,2,3,21,21,19.397001537426256,-99.09255536045086
8,202404,1,3,52,51,19.39572233348373,-99.09495665136043
8,202404,6,3,23,23,19.399905585909003,-99.08259300345358
8,202404,5,3,43,43,19.396962369763177,-99.10253470975486
